idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl
23,test,verb,0,target_verb_att0_opp,[wug],[wugs],sleeps,sleep,The obvious [wug],The obvious [wugs],The obvious [wug] sleeps,The obvious [wug] sleep,The obvious [wugs] sleep,The obvious [wugs] sleeps,7,7
24,test,verb,0,target_verb_att0_opp,[wug],[wugs],twists,twist,The vicious [wug],The vicious [wugs],The vicious [wug] twists,The vicious [wug] twist,The vicious [wugs] twist,The vicious [wugs] twists,7,7
25,test,verb,0,target_verb_att0_opp,[wug],[wugs],circles,circle,The trim [wug],The trim [wugs],The trim [wug] circles,The trim [wug] circle,The trim [wugs] circle,The trim [wugs] circles,7,7
26,test,verb,0,target_verb_att0_opp,[wug],[wugs],mounts,mount,The black [wug],The black [wugs],The black [wug] mounts,The black [wug] mount,The black [wugs] mount,The black [wugs] mounts,7,7
27,test,verb,0,target_verb_att0_opp,[wug],[wugs],nods,nod,The spiked [wug],The spiked [wugs],The spiked [wug] nods,The spiked [wug] nod,The spiked [wugs] nod,The spiked [wugs] nods,7,7
28,test,verb,0,target_verb_att0_opp,[wug],[wugs],cocks,cock,The striped [wug],The striped [wugs],The striped [wug] cocks,The striped [wug] cock,The striped [wugs] cock,The striped [wugs] cocks,7,7
29,test,verb,0,target_verb_att0_opp,[wug],[wugs],hurdles,hurdle,The walnut [wug],The walnut [wugs],The walnut [wug] hurdles,The walnut [wug] hurdle,The walnut [wugs] hurdle,The walnut [wugs] hurdles,7,7
30,test,verb,0,target_verb_att0_opp,[wug],[wugs],pauses,pause,The big [wug],The big [wugs],The big [wug] pauses,The big [wug] pause,The big [wugs] pause,The big [wugs] pauses,7,7
31,test,verb,0,target_verb_att0_opp,[wug],[wugs],nods,nod,The dusty [wug],The dusty [wugs],The dusty [wug] nods,The dusty [wug] nod,The dusty [wugs] nod,The dusty [wugs] nods,7,7
32,test,verb,0,target_verb_att0_opp,[wug],[wugs],races,race,The tender [wug],The tender [wugs],The tender [wug] races,The tender [wug] race,The tender [wugs] race,The tender [wugs] races,7,7
33,test,verb,0,target_verb_att0_opp,[wug],[wugs],grips,grip,The chubby [wug],The chubby [wugs],The chubby [wug] grips,The chubby [wug] grip,The chubby [wugs] grip,The chubby [wugs] grips,7,7
34,test,verb,0,target_verb_att0_opp,[wug],[wugs],taps,tap,The mustard [wug],The mustard [wugs],The mustard [wug] taps,The mustard [wug] tap,The mustard [wugs] tap,The mustard [wugs] taps,7,7
35,test,verb,0,target_verb_att0_opp,[wug],[wugs],stays,stay,The tangled [wug],The tangled [wugs],The tangled [wug] stays,The tangled [wug] stay,The tangled [wugs] stay,The tangled [wugs] stays,7,7
36,test,verb,0,target_verb_att0_opp,[wug],[wugs],scales,scale,The sweet [wug],The sweet [wugs],The sweet [wug] scales,The sweet [wug] scale,The sweet [wugs] scale,The sweet [wugs] scales,7,7
37,test,verb,0,target_verb_att0_opp,[wug],[wugs],nods,nod,The shaded [wug],The shaded [wugs],The shaded [wug] nods,The shaded [wug] nod,The shaded [wugs] nod,The shaded [wugs] nods,7,7
38,test,verb,0,target_verb_att0_opp,[wug],[wugs],races,race,The sturdy [wug],The sturdy [wugs],The sturdy [wug] races,The sturdy [wug] race,The sturdy [wugs] race,The sturdy [wugs] races,7,7
39,test,verb,0,target_verb_att0_opp,[wug],[wugs],marches,march,The sturdy [wug],The sturdy [wugs],The sturdy [wug] marches,The sturdy [wug] march,The sturdy [wugs] march,The sturdy [wugs] marches,7,7
40,test,verb,0,target_verb_att0_opp,[wug],[wugs],arrives,arrive,The wary [wug],The wary [wugs],The wary [wug] arrives,The wary [wug] arrive,The wary [wugs] arrive,The wary [wugs] arrives,7,7
41,test,verb,0,target_verb_att0_opp,[wug],[wugs],tunnels,tunnel,The black [wug],The black [wugs],The black [wug] tunnels,The black [wug] tunnel,The black [wugs] tunnel,The black [wugs] tunnels,7,7
42,test,verb,0,target_verb_att0_opp,[wug],[wugs],nods,nod,The solid [wug],The solid [wugs],The solid [wug] nods,The solid [wug] nod,The solid [wugs] nod,The solid [wugs] nods,7,7
43,test,verb,0,target_verb_att0_opp,[wug],[wugs],twists,twist,The jade [wug],The jade [wugs],The jade [wug] twists,The jade [wug] twist,The jade [wugs] twist,The jade [wugs] twists,7,7
44,test,verb,0,target_verb_att0_opp,[wug],[wugs],strides,stride,The clumsy [wug],The clumsy [wugs],The clumsy [wug] strides,The clumsy [wug] stride,The clumsy [wugs] stride,The clumsy [wugs] strides,7,7
45,test,verb,0,target_verb_att0_opp,[wug],[wugs],rocks,rock,The twisted [wug],The twisted [wugs],The twisted [wug] rocks,The twisted [wug] rock,The twisted [wugs] rock,The twisted [wugs] rocks,7,7
46,test,verb,0,target_verb_att0_opp,[wug],[wugs],clicks,click,The timid [wug],The timid [wugs],The timid [wug] clicks,The timid [wug] click,The timid [wugs] click,The timid [wugs] clicks,7,7
47,test,verb,0,target_verb_att0_opp,[wug],[wugs],nods,nod,The hollow [wug],The hollow [wugs],The hollow [wug] nods,The hollow [wug] nod,The hollow [wugs] nod,The hollow [wugs] nods,7,7
48,test,verb,0,target_verb_att0_opp,[wug],[wugs],tracks,track,The shy [wug],The shy [wugs],The shy [wug] tracks,The shy [wug] track,The shy [wugs] track,The shy [wugs] tracks,7,7
49,test,verb,0,target_verb_att0_opp,[wug],[wugs],wheels,wheel,The cold [wug],The cold [wugs],The cold [wug] wheels,The cold [wug] wheel,The cold [wugs] wheel,The cold [wugs] wheels,7,7
50,test,verb,0,target_verb_att0_opp,[wug],[wugs],hurdles,hurdle,The clever [wug],The clever [wugs],The clever [wug] hurdles,The clever [wug] hurdle,The clever [wugs] hurdle,The clever [wugs] hurdles,7,7
51,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The solid [wug],The solid [wugs],The solid [wug] hops,The solid [wug] hop,The solid [wugs] hop,The solid [wugs] hops,7,7
52,test,verb,0,target_verb_att0_opp,[wug],[wugs],twists,twist,The timid [wug],The timid [wugs],The timid [wug] twists,The timid [wug] twist,The timid [wugs] twist,The timid [wugs] twists,7,7
53,test,verb,0,target_verb_att0_opp,[wug],[wugs],floats,float,The glazed [wug],The glazed [wugs],The glazed [wug] floats,The glazed [wug] float,The glazed [wugs] float,The glazed [wugs] floats,7,7
54,test,verb,0,target_verb_att0_opp,[wug],[wugs],tunnels,tunnel,The nervous [wug],The nervous [wugs],The nervous [wug] tunnels,The nervous [wug] tunnel,The nervous [wugs] tunnel,The nervous [wugs] tunnels,7,7
55,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The bright [wug],The bright [wugs],The bright [wug] raises,The bright [wug] raise,The bright [wugs] raise,The bright [wugs] raises,7,7
56,test,verb,0,target_verb_att0_opp,[wug],[wugs],twists,twist,The honey [wug],The honey [wugs],The honey [wug] twists,The honey [wug] twist,The honey [wugs] twist,The honey [wugs] twists,7,7
57,test,verb,0,target_verb_att0_opp,[wug],[wugs],rises,rise,The mint [wug],The mint [wugs],The mint [wug] rises,The mint [wug] rise,The mint [wugs] rise,The mint [wugs] rises,7,7
58,test,verb,0,target_verb_att0_opp,[wug],[wugs],curls,curl,The dazzling [wug],The dazzling [wugs],The dazzling [wug] curls,The dazzling [wug] curl,The dazzling [wugs] curl,The dazzling [wugs] curls,7,7
59,test,verb,0,target_verb_att0_opp,[wug],[wugs],hurdles,hurdle,The piercing [wug],The piercing [wugs],The piercing [wug] hurdles,The piercing [wug] hurdle,The piercing [wugs] hurdle,The piercing [wugs] hurdles,7,7
60,test,verb,0,target_verb_att0_opp,[wug],[wugs],sails,sail,The curly [wug],The curly [wugs],The curly [wug] sails,The curly [wug] sail,The curly [wugs] sail,The curly [wugs] sails,7,7
61,test,verb,0,target_verb_att0_opp,[wug],[wugs],rocks,rock,The dependable [wug],The dependable [wugs],The dependable [wug] rocks,The dependable [wug] rock,The dependable [wugs] rock,The dependable [wugs] rocks,7,7
62,test,verb,0,target_verb_att0_opp,[wug],[wugs],wheels,wheel,The mustard [wug],The mustard [wugs],The mustard [wug] wheels,The mustard [wug] wheel,The mustard [wugs] wheel,The mustard [wugs] wheels,7,7
63,test,verb,0,target_verb_att0_opp,[wug],[wugs],cocks,cock,The raw [wug],The raw [wugs],The raw [wug] cocks,The raw [wug] cock,The raw [wugs] cock,The raw [wugs] cocks,7,7
64,test,verb,0,target_verb_att0_opp,[wug],[wugs],coils,coil,The crisp [wug],The crisp [wugs],The crisp [wug] coils,The crisp [wug] coil,The crisp [wugs] coil,The crisp [wugs] coils,7,7
65,test,verb,0,target_verb_att0_opp,[wug],[wugs],wheels,wheel,The skinny [wug],The skinny [wugs],The skinny [wug] wheels,The skinny [wug] wheel,The skinny [wugs] wheel,The skinny [wugs] wheels,7,7
66,test,verb,0,target_verb_att0_opp,[wug],[wugs],walks,walk,The tender [wug],The tender [wugs],The tender [wug] walks,The tender [wug] walk,The tender [wugs] walk,The tender [wugs] walks,7,7
67,test,verb,0,target_verb_att0_opp,[wug],[wugs],stamps,stamp,The charcoal [wug],The charcoal [wugs],The charcoal [wug] stamps,The charcoal [wug] stamp,The charcoal [wugs] stamp,The charcoal [wugs] stamps,7,7
68,test,verb,0,target_verb_att0_opp,[wug],[wugs],stamps,stamp,The white [wug],The white [wugs],The white [wug] stamps,The white [wug] stamp,The white [wugs] stamp,The white [wugs] stamps,7,7
69,test,verb,0,target_verb_att0_opp,[wug],[wugs],stays,stay,The oily [wug],The oily [wugs],The oily [wug] stays,The oily [wug] stay,The oily [wugs] stay,The oily [wugs] stays,7,7
70,test,verb,0,target_verb_att0_opp,[wug],[wugs],races,race,The tan [wug],The tan [wugs],The tan [wug] races,The tan [wug] race,The tan [wugs] race,The tan [wugs] races,7,7
71,test,verb,0,target_verb_att0_opp,[wug],[wugs],claws,claw,The black [wug],The black [wugs],The black [wug] claws,The black [wug] claw,The black [wugs] claw,The black [wugs] claws,7,7
72,test,verb,0,target_verb_att0_opp,[wug],[wugs],lifts,lift,The platinum [wug],The platinum [wugs],The platinum [wug] lifts,The platinum [wug] lift,The platinum [wugs] lift,The platinum [wugs] lifts,7,7
73,test,verb,0,target_verb_att0_opp,[wug],[wugs],grips,grip,The oily [wug],The oily [wugs],The oily [wug] grips,The oily [wug] grip,The oily [wugs] grip,The oily [wugs] grips,7,7
74,test,verb,0,target_verb_att0_opp,[wug],[wugs],springs,spring,The harsh [wug],The harsh [wugs],The harsh [wug] springs,The harsh [wug] spring,The harsh [wugs] spring,The harsh [wugs] springs,7,7
75,test,verb,0,target_verb_att0_opp,[wug],[wugs],returns,return,The collected [wug],The collected [wugs],The collected [wug] returns,The collected [wug] return,The collected [wugs] return,The collected [wugs] returns,7,7
76,test,verb,0,target_verb_att0_opp,[wug],[wugs],strides,stride,The curly [wug],The curly [wugs],The curly [wug] strides,The curly [wug] stride,The curly [wugs] stride,The curly [wugs] strides,7,7
77,test,verb,0,target_verb_att0_opp,[wug],[wugs],circles,circle,The ancient [wug],The ancient [wugs],The ancient [wug] circles,The ancient [wug] circle,The ancient [wugs] circle,The ancient [wugs] circles,7,7
78,test,verb,0,target_verb_att0_opp,[wug],[wugs],rises,rise,The messy [wug],The messy [wugs],The messy [wug] rises,The messy [wug] rise,The messy [wugs] rise,The messy [wugs] rises,7,7
79,test,verb,0,target_verb_att0_opp,[wug],[wugs],remains,remain,The oily [wug],The oily [wugs],The oily [wug] remains,The oily [wug] remain,The oily [wugs] remain,The oily [wugs] remains,7,7
80,test,verb,0,target_verb_att0_opp,[wug],[wugs],floats,float,The little [wug],The little [wugs],The little [wug] floats,The little [wug] float,The little [wugs] float,The little [wugs] floats,7,7
81,test,verb,0,target_verb_att0_opp,[wug],[wugs],nests,nest,The furry [wug],The furry [wugs],The furry [wug] nests,The furry [wug] nest,The furry [wugs] nest,The furry [wugs] nests,7,7
82,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The faded [wug],The faded [wugs],The faded [wug] hops,The faded [wug] hop,The faded [wugs] hop,The faded [wugs] hops,7,7
83,test,verb,0,target_verb_att0_opp,[wug],[wugs],tracks,track,The sweet [wug],The sweet [wugs],The sweet [wug] tracks,The sweet [wug] track,The sweet [wugs] track,The sweet [wugs] tracks,7,7
84,test,verb,0,target_verb_att0_opp,[wug],[wugs],wheels,wheel,The hidden [wug],The hidden [wugs],The hidden [wug] wheels,The hidden [wug] wheel,The hidden [wugs] wheel,The hidden [wugs] wheels,7,7
85,test,verb,0,target_verb_att0_opp,[wug],[wugs],wheels,wheel,The nervous [wug],The nervous [wugs],The nervous [wug] wheels,The nervous [wug] wheel,The nervous [wugs] wheel,The nervous [wugs] wheels,7,7
86,test,verb,0,target_verb_att0_opp,[wug],[wugs],remains,remain,The wary [wug],The wary [wugs],The wary [wug] remains,The wary [wug] remain,The wary [wugs] remain,The wary [wugs] remains,7,7
87,test,verb,0,target_verb_att0_opp,[wug],[wugs],climbs,climb,The wise [wug],The wise [wugs],The wise [wug] climbs,The wise [wug] climb,The wise [wugs] climb,The wise [wugs] climbs,7,7
88,test,verb,0,target_verb_att0_opp,[wug],[wugs],mounts,mount,The vicious [wug],The vicious [wugs],The vicious [wug] mounts,The vicious [wug] mount,The vicious [wugs] mount,The vicious [wugs] mounts,7,7
89,test,verb,0,target_verb_att0_opp,[wug],[wugs],curls,curl,The cheerful [wug],The cheerful [wugs],The cheerful [wug] curls,The cheerful [wug] curl,The cheerful [wugs] curl,The cheerful [wugs] curls,7,7
90,test,verb,0,target_verb_att0_opp,[wug],[wugs],stamps,stamp,The clean [wug],The clean [wugs],The clean [wug] stamps,The clean [wug] stamp,The clean [wugs] stamp,The clean [wugs] stamps,7,7
91,test,verb,0,target_verb_att0_opp,[wug],[wugs],cocks,cock,The trim [wug],The trim [wugs],The trim [wug] cocks,The trim [wug] cock,The trim [wugs] cock,The trim [wugs] cocks,7,7
92,test,verb,0,target_verb_att0_opp,[wug],[wugs],rises,rise,The bitter [wug],The bitter [wugs],The bitter [wug] rises,The bitter [wug] rise,The bitter [wugs] rise,The bitter [wugs] rises,7,7
93,test,verb,0,target_verb_att0_opp,[wug],[wugs],cocks,cock,The busy [wug],The busy [wugs],The busy [wug] cocks,The busy [wug] cock,The busy [wugs] cock,The busy [wugs] cocks,7,7
94,test,verb,0,target_verb_att0_opp,[wug],[wugs],approaches,approach,The tan [wug],The tan [wugs],The tan [wug] approaches,The tan [wug] approach,The tan [wugs] approach,The tan [wugs] approaches,7,7
95,test,verb,0,target_verb_att0_opp,[wug],[wugs],climbs,climb,The juicy [wug],The juicy [wugs],The juicy [wug] climbs,The juicy [wug] climb,The juicy [wugs] climb,The juicy [wugs] climbs,7,7
96,test,verb,0,target_verb_att0_opp,[wug],[wugs],remains,remain,The dirty [wug],The dirty [wugs],The dirty [wug] remains,The dirty [wug] remain,The dirty [wugs] remain,The dirty [wugs] remains,7,7
97,test,verb,0,target_verb_att0_opp,[wug],[wugs],rises,rise,The filthy [wug],The filthy [wugs],The filthy [wug] rises,The filthy [wug] rise,The filthy [wugs] rise,The filthy [wugs] rises,7,7
98,test,verb,0,target_verb_att0_opp,[wug],[wugs],rises,rise,The clean [wug],The clean [wugs],The clean [wug] rises,The clean [wug] rise,The clean [wugs] rise,The clean [wugs] rises,7,7
99,test,verb,0,target_verb_att0_opp,[wug],[wugs],coils,coil,The gray [wug],The gray [wugs],The gray [wug] coils,The gray [wug] coil,The gray [wugs] coil,The gray [wugs] coils,7,7
100,test,verb,0,target_verb_att0_opp,[wug],[wugs],walks,walk,The shaded [wug],The shaded [wugs],The shaded [wug] walks,The shaded [wug] walk,The shaded [wugs] walk,The shaded [wugs] walks,7,7
101,test,verb,0,target_verb_att0_opp,[wug],[wugs],tracks,track,The clumsy [wug],The clumsy [wugs],The clumsy [wug] tracks,The clumsy [wug] track,The clumsy [wugs] track,The clumsy [wugs] tracks,7,7
102,test,verb,0,target_verb_att0_opp,[wug],[wugs],banks,bank,The walnut [wug],The walnut [wugs],The walnut [wug] banks,The walnut [wug] bank,The walnut [wugs] bank,The walnut [wugs] banks,7,7
103,test,verb,0,target_verb_att0_opp,[wug],[wugs],circles,circle,The fragile [wug],The fragile [wugs],The fragile [wug] circles,The fragile [wug] circle,The fragile [wugs] circle,The fragile [wugs] circles,7,7
104,test,verb,0,target_verb_att0_opp,[wug],[wugs],rocks,rock,The loyal [wug],The loyal [wugs],The loyal [wug] rocks,The loyal [wug] rock,The loyal [wugs] rock,The loyal [wugs] rocks,7,7
105,test,verb,0,target_verb_att0_opp,[wug],[wugs],returns,return,The faded [wug],The faded [wugs],The faded [wug] returns,The faded [wug] return,The faded [wugs] return,The faded [wugs] returns,7,7
106,test,verb,0,target_verb_att0_opp,[wug],[wugs],swims,swim,The collected [wug],The collected [wugs],The collected [wug] swims,The collected [wug] swim,The collected [wugs] swim,The collected [wugs] swims,7,7
107,test,verb,0,target_verb_att0_opp,[wug],[wugs],banks,bank,The social [wug],The social [wugs],The social [wug] banks,The social [wug] bank,The social [wugs] bank,The social [wugs] banks,7,7
108,test,verb,0,target_verb_att0_opp,[wug],[wugs],lifts,lift,The tiny [wug],The tiny [wugs],The tiny [wug] lifts,The tiny [wug] lift,The tiny [wugs] lift,The tiny [wugs] lifts,7,7
109,test,verb,0,target_verb_att0_opp,[wug],[wugs],releases,release,The dense [wug],The dense [wugs],The dense [wug] releases,The dense [wug] release,The dense [wugs] release,The dense [wugs] releases,7,7
110,test,verb,0,target_verb_att0_opp,[wug],[wugs],hurdles,hurdle,The pitch [wug],The pitch [wugs],The pitch [wug] hurdles,The pitch [wug] hurdle,The pitch [wugs] hurdle,The pitch [wugs] hurdles,7,7
111,test,verb,0,target_verb_att0_opp,[wug],[wugs],stays,stay,The slight [wug],The slight [wugs],The slight [wug] stays,The slight [wug] stay,The slight [wugs] stay,The slight [wugs] stays,7,7
112,test,verb,0,target_verb_att0_opp,[wug],[wugs],cocks,cock,The juicy [wug],The juicy [wugs],The juicy [wug] cocks,The juicy [wug] cock,The juicy [wugs] cock,The juicy [wugs] cocks,7,7
113,test,verb,0,target_verb_att0_opp,[wug],[wugs],rushes,rush,The clean [wug],The clean [wugs],The clean [wug] rushes,The clean [wug] rush,The clean [wugs] rush,The clean [wugs] rushes,7,7
114,test,verb,0,target_verb_att0_opp,[wug],[wugs],tracks,track,The chubby [wug],The chubby [wugs],The chubby [wug] tracks,The chubby [wug] track,The chubby [wugs] track,The chubby [wugs] tracks,7,7
115,test,verb,0,target_verb_att0_opp,[wug],[wugs],taps,tap,The spurred [wug],The spurred [wugs],The spurred [wug] taps,The spurred [wug] tap,The spurred [wugs] tap,The spurred [wugs] taps,7,7
116,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The limp [wug],The limp [wugs],The limp [wug] hops,The limp [wug] hop,The limp [wugs] hop,The limp [wugs] hops,7,7
117,test,verb,0,target_verb_att0_opp,[wug],[wugs],springs,spring,The thin [wug],The thin [wugs],The thin [wug] springs,The thin [wug] spring,The thin [wugs] spring,The thin [wugs] springs,7,7
118,test,verb,0,target_verb_att0_opp,[wug],[wugs],taps,tap,The platinum [wug],The platinum [wugs],The platinum [wug] taps,The platinum [wug] tap,The platinum [wugs] tap,The platinum [wugs] taps,7,7
119,test,verb,0,target_verb_att0_opp,[wug],[wugs],pauses,pause,The trim [wug],The trim [wugs],The trim [wug] pauses,The trim [wug] pause,The trim [wugs] pause,The trim [wugs] pauses,7,7
120,test,verb,0,target_verb_att0_opp,[wug],[wugs],hurdles,hurdle,The calm [wug],The calm [wugs],The calm [wug] hurdles,The calm [wug] hurdle,The calm [wugs] hurdle,The calm [wugs] hurdles,7,7
121,test,verb,0,target_verb_att0_opp,[wug],[wugs],returns,return,The golden [wug],The golden [wugs],The golden [wug] returns,The golden [wug] return,The golden [wugs] return,The golden [wugs] returns,7,7
122,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The collected [wug],The collected [wugs],The collected [wug] raises,The collected [wug] raise,The collected [wugs] raise,The collected [wugs] raises,7,7
123,test,verb,0,target_verb_att0_opp,[wug],[wugs],rushes,rush,The thick [wug],The thick [wugs],The thick [wug] rushes,The thick [wug] rush,The thick [wugs] rush,The thick [wugs] rushes,7,7
124,test,verb,0,target_verb_att0_opp,[wug],[wugs],dives,dive,The harsh [wug],The harsh [wugs],The harsh [wug] dives,The harsh [wug] dive,The harsh [wugs] dive,The harsh [wugs] dives,7,7
125,test,verb,0,target_verb_att0_opp,[wug],[wugs],banks,bank,The radiant [wug],The radiant [wugs],The radiant [wug] banks,The radiant [wug] bank,The radiant [wugs] bank,The radiant [wugs] banks,7,7
126,test,verb,0,target_verb_att0_opp,[wug],[wugs],releases,release,The silent [wug],The silent [wugs],The silent [wug] releases,The silent [wug] release,The silent [wugs] release,The silent [wugs] releases,7,7
127,test,verb,0,target_verb_att0_opp,[wug],[wugs],races,race,The messy [wug],The messy [wugs],The messy [wug] races,The messy [wug] race,The messy [wugs] race,The messy [wugs] races,7,7
128,test,verb,0,target_verb_att0_opp,[wug],[wugs],dives,dive,The shaded [wug],The shaded [wugs],The shaded [wug] dives,The shaded [wug] dive,The shaded [wugs] dive,The shaded [wugs] dives,7,7
129,test,verb,0,target_verb_att0_opp,[wug],[wugs],nods,nod,The glazed [wug],The glazed [wugs],The glazed [wug] nods,The glazed [wug] nod,The glazed [wugs] nod,The glazed [wugs] nods,7,7
130,test,verb,0,target_verb_att0_opp,[wug],[wugs],clicks,click,The lively [wug],The lively [wugs],The lively [wug] clicks,The lively [wug] click,The lively [wugs] click,The lively [wugs] clicks,7,7
131,test,verb,0,target_verb_att0_opp,[wug],[wugs],nods,nod,The slight [wug],The slight [wugs],The slight [wug] nods,The slight [wug] nod,The slight [wugs] nod,The slight [wugs] nods,7,7
132,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The platinum [wug],The platinum [wugs],The platinum [wug] raises,The platinum [wug] raise,The platinum [wugs] raise,The platinum [wugs] raises,7,7
133,test,verb,0,target_verb_att0_opp,[wug],[wugs],releases,release,The piercing [wug],The piercing [wugs],The piercing [wug] releases,The piercing [wug] release,The piercing [wugs] release,The piercing [wugs] releases,7,7
134,test,verb,0,target_verb_att0_opp,[wug],[wugs],stays,stay,The jade [wug],The jade [wugs],The jade [wug] stays,The jade [wug] stay,The jade [wugs] stay,The jade [wugs] stays,7,7
135,test,verb,0,target_verb_att0_opp,[wug],[wugs],drums,drum,The calm [wug],The calm [wugs],The calm [wug] drums,The calm [wug] drum,The calm [wugs] drum,The calm [wugs] drums,7,7
136,test,verb,0,target_verb_att0_opp,[wug],[wugs],rushes,rush,The transparent [wug],The transparent [wugs],The transparent [wug] rushes,The transparent [wug] rush,The transparent [wugs] rush,The transparent [wugs] rushes,7,7
